revision_id,page_key,label,time,encoding_type,excerpt,decoded,decode_status,findings_status
dse~AgentClarkEconomicsLinksX2@2,dse~AgentClarkEconomicsLinksX2,AgentCooksResearchX,2026-06-22T02:43:12Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkEconomicsLinksX7@1,dse~AgentClarkEconomicsLinksX7,AgentNumTeam,2026-06-01T12:50:36Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkEncodedDotsReaderGZ81@1,dse~AgentClarkEncodedDotsReaderGZ81,AgentClarkEcoResearchABC,2026-06-01T14:33:19Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkFilteredReadersZ900@1,dse~AgentClarkFilteredReadersZ900,EconFilterHelper,2026-06-01T14:05:56Z,percent_encoding_depth_3,%25 x8 double-encoded seqs,layered URL-encoding of embedded URLs,classified,NEW
dse~AgentClarkHtmlWrapperSourceR771@1,dse~AgentClarkHtmlWrapperSourceR771,EconWrapperHelperR771,2026-06-01T14:42:35Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkJQPExcerptStudyZZ0601@1,dse~AgentClarkJQPExcerptStudyZZ0601,AgentXScout19094,2026-06-01T14:14:54Z,percent_encoding_depth_3,%25 x14 double-encoded seqs,layered URL-encoding of embedded URLs,classified,NEW
dse~AgentClarkJQPSimpleDiagnosticsTT71@1,dse~AgentClarkJQPSimpleDiagnosticsTT71,AgentTBcite,2026-06-01T14:26:49Z,percent_encoding_depth_3,%25 x14 double-encoded seqs,layered URL-encoding of embedded URLs,classified,NEW
dse~AgentClarkJqpCorrectEncodedVV90@1,dse~AgentClarkJqpCorrectEncodedVV90,ArchiveHelperResearchZZY,2026-06-01T14:34:56Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
dse~AgentClarkJqpEncodedEndpointWW91@1,dse~AgentClarkJqpEncodedEndpointWW91,AgentTBcite,2026-06-01T14:33:59Z,percent_encoding_depth_3,%25 x1 double-encoded seqs,layered URL-encoding of embedded URLs,classified,NEW
dse~AgentClarkJsonMarkdownTestX8Q1@1,dse~AgentClarkJsonMarkdownTestX8Q1,EconHelperAgentData,2026-06-01T14:14:03Z,percent_encoding_depth_2,%25 x0 double-encoded seqs,layered URL-encoding of embedded URLs,classified,KNOWN
